first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
เอนดูน้องน้อยพราก,เรียมไกล เซ่นนอ,พอยเพื่อนฤาอวรไส,ยาศโพ้น,บ่มาแผ่นปราไสย,สงวนหมู่ ชุมนอ,เปี่ยนเปล่าอกน้องโน้น,นาฏเอ้ยไคทยา
ชินพิมเพาโพธเพียง,พอกัน,สองฝ่ายหนเหนือสัน,ฝ่ายใต้,ลาชาแผ่นผายผัน,ผลเผื่อ อวรเอย,ผลเผื่อถึงเจ้าได้,แด่เทิ้นทิโพชา
พิหารยาวยิ่งกว้าง,พิสดาร,พุทธรูปองค์อุปพาน,เลิศหล้า,ยืนยังเยี่ยมพิมาน,รมณิยอด โยงเอย,สังมิมาพร้อมข้า,แต่งตั้งปณิธาน
ลาชาเทียนทีปแม้น,มาลา ก็ดี,เป็นส่วนศรีวนิดา,กึ่งก้ำ,ทุงทองแทกคายา,ยังขึ่น ก็ดี,เป็นส่วนบุญน้องล้ำ,เลิศข้าขอเวร
ขีณาทังแปดเก้า,สัพพัญ,แปงพุ่งสาลีปู,แผ่นผ้า,เคนพระชุองค์กู,นาพี่ รับรา,เป็นสากขีน้องหม้า,แม่ได้โดยเรียม
ธาราไหลหล่อหื้อ,เป็นสัตย์ ก็ดี,ก่อเท่าเบิงอันพัด,พรากซ้ำ,ปัจจุณเผือผลตัด,สองจาก เจียนรา,พิโยคนุชนี้ล้ำ,เลิศผู้ใดปะเหียน
นักษัตรทั้งเก้าเรียก,รับผล,อย่าถูกลักขณาหน,แห่งน้อง,รับราชกุศล,สนองโชค ชัยรา,ตัวบาปหลอนใดต้อง,ค่อยหื้อนักถาผล
อินทร์พรหมครุฑนาคน้ำ,นำสนอง แดรา,จักแบ่งกุศลสอง,ส่วนให้,ทวีคูณค่อยปูนปอง,หมายเมียด บุญรา,บัดชื่นนุชน้องได้,แด่ด้วยอัคชา
วันเพ็ญศีลเสพสร้าง,อุโบสถ,เพียญชน์โภชน์สุราอด,ค่อยกลั้น,ยังแชงเพื่อสีลสรด,ใสว่าง งามเอย,ก่อใช่จงฟากชั้น,หน้าน้องเองออน
สาลีวางรุ่งแจ้ง,จำอรรถ,แปลงเจดเชงปฏิบัติ,บ่เศร้า,เบงจะจำเนียนวัด,วันค่ำ ก็ดี,สระชีพวางไว้เข้า,เขตน้องอิษฐารมณ์
จึงเสลือยยุระยาตรฟ้อม,เฟือนฟัด,แวววาดหางยูงกวัด,แกว่งเต้น,เงินทองละบำทัด,ทุมทอด งามเอย,ตามพวกคันธัพเหล้น,หากแล้วหลายระบำ
ภมุกคิ้วค้อมก่ง,เกาทัณฑ์,เอวอ่อนกำพลพัน,รวบรั้ง,กัทลีลดาวัลย์,ลมเพิก เพียงเฮย,เพิงแพ่งพลับเต้าตั้ง,เต่งตั้งผายขจร
เชียงคำเกลาเกลี้ยงแกว่ง,กลอนกาย,นูเนื่องในทองสลาย,ขาดขว้ำ,ปูนเด็จแต่ขวันถวาย,ชีเวก เวนเอย,หัทเยศในเนื้อน้ำ,ชุ่มแส้นสริรัง
บางบทตูท่อนดิ้ว,เชียชิน เช่นแม่,ยอบาทสุยสุยยิน,งึดด้วย,รอยเรียบแต่เดิมกิน,นรีราช ฤาแม่,บุญค่อยชูชักส้วย,สู่สู้สมสนอง
นักคุนแคนคู่ค้อง,สละไนย,ไพโอฐสลายสลับไส,ดอกสร้อย,บางตูบาทบทไป,แพงร่ำ รักเอย,เสลยเยอยลหน้าช้อย,ชอบด้วยโดยระบำ
สายนังเคาะไต่เต้น,เยาะแยะ,บางบาทเยอเทาะแทะ,ทอดเท้า,ถอยหลังเลาเกาะแกะ,ชลางแล่น ไปเอย,สองฝ่ายเคาะเต้นเต้า,ฝีกพ้นปาระเลิม
เสนีไต่ดาบขึ้น,สูงสุด,สมสอดยืนยังยุด,ห่มห้อย,รอยเรียนสาดสิปป์อุด,ดมเร่ง เรียวฤา,ปุนงืดหน้าน้อยน้อย,นาฏเอ้ยเรียมเห็น
เทาเรียมร้างเจ้าจาก,เจียรพงา งามเอย,อกอั่งอาดูรดา,หมดม้อย,เตมเลงอื่นใครสลา,เฉลิมเกศ กุฎเอย,แพงเจตในน้องถ้อย,พี่ถ้อยถึงอวร
อำเห็นหน้าน้องเท่า,เห็นเงา ก็ดี,ดับโศกทุกข์บันเทา,ที่ร้อน,มิลุมิลวนเอา,องค์อื่น เทียมแฮ,ฝังอาตม์ขวัญขวัญข้อน,แว่นแก้ววนิดา
ตนไกลจิตเจตใช้,เมือชัย,เผือกฝากทิพนงค์ไว,แว่นไว้,เททวงออกอกใน,ปานไน่ นุชแฮ,ตายบตายนี้ไม้,มาศไม้เวทนา
ทุรารสน้องนาฏ,เววล,นึกเยี่ยงใดจักทน,พี่ร้าง,จึงไปเดี่ยวเดินยล,ยังรูป อวรเอย,เอนกนุชน้องว้าง,แว่วหื้อหายเสบย
นาภีสมสอดสร้าง,มหากระจาย,ปูอาสนอิงทะเพิมหลาย,ลูกช้อน,เทียนทุงทิพถือถวาย,เคนคู่ อวรเอย,พอเท่าทีปเจ้าซ้อน,เอกอ้างปณิธาน์
นปพระไสยาศเยื้อน,ปฏิมา,วงแวดฝูงขีณา,ใฝ่เฝ้า,พระพุทธเปลี่ยนอิริยา,กุโนด บ้างรา,เทียนคู่เคนพระเจ้า,จุงได้ปัจจุบัน
มณฑปพระเจ้าบ่,เกือกวย กว่าเฮย,สูงใหญ่ย่องเองพวย,เพื่อนหน้า,เทียนทุงคู่คบสวย,อวยแว่น วักเอย,ผลเผื่อเราอย่างช้า,ชาตินี้เนอมุณี
มิคาเยี่ยมยี้เหยียบ,ยังยืน ก็ดี,ไขปากปานจักกลืน,คาบเคี้ยว,คชสารคู่จักลืน,ลงรวด รักเอย,เมียงม่ายสองเบี่ยงเบี้ยว,เป่นสู้สบายยวย
ยังมีพระคู่ล้อม,จัตุตน,ยืนยันอยู่ประจิมหน,แห่งโน้น,เพราะเรียมทุกข์ฉงน,ฉงายเสน่ห์ รักเอย,ขอโผดผายให้โพ้น,เพื่อแก้กรรมเรียม
ธรณีเต้าตั้งกาศ,ลีเลิง,เต็มแต่บุพพัณห์เถิง,ค่ำสลุ้ม,หวงเห็นที่เทียนเทิง,ใจเช่น นาแม่,ยลเยื่องใดจักกุ้ม,กว่านั้นนานเห็น
นัครารมเยศย้อม,สากล,แฟงฟั่นฤษีตน,แต่งตั้ง,ลือเลิงทั่วทศมณ,ฑลทวีป เรานี้,เมืองมิ่งพระเจ้าจั้ง,เจี่ยมจ้อนจามเท
ละมิงพิงเพี้ยงม่าง,ลุเกียร,สาวบ่าวชุมชนเดียร,ระดาษไหว้,บเห็นนิรมเปียน,ปัดเปื่อน ทวงแฮ,ปัดเปื่อนอกซ้ำไซร้,ชวดได้ดลมุณี
อำเห็นหน้าน้องเท่า,เห็นหัน,ปองเหล่าอารมสรร,พ่างแห้ง,พระพุทธเปลี่ยวดูฉัน,เดียวพี่ นี้แม่,ไกลกลิ่นรสเข้าแล้ง,เยียแล้งอกเรียม
ถึงพุทธรูปอั้น,ยืนยัง,ก่อมก้อเป็นขลงทัง,สี่ด้าน,ทำบุญเผื่อบุญบัง,พบแม่ นะแม่,กุโนชพระเจ้าจ้าน,ค่อยแก้กรรมสนอง
กุกุสนธแซ่งสร้าง,โกนา,องค์หนึ่งพระกัสปา,เจื่องเจ้า,โคดมจึ่งจรคลา,ว่างศาส นาเอย,เชิญเสวยรสเข้า,ม่วนน้อมทูลถวาย
สี่องค์นิพ้นฟ้อง,สงสาร,นิโรธรสนิพาน,โมข์ม้าง,ยังพระอะไรนาน,ลงโลก นี้นอ,จักบอกบทคล้อยคล้าง,แต่หื้อนำนิพาน
นานนักชลิ่วแล้ง,สาลี,เพียญชน์เรียมนับปี,อ่านปั้น,บูชารูปรอยมี,ผลมาก นักเอย,ก็เที่ยงลุแก้วหมั้น,แม่เอ้ยยาไสลย
ชีนพิมพ์พิโมกข์ม้าง,นิรพาณ ก็ดี,มีหมู่บริวาร,แวดล้อม,เป็นกษัตริย์เดือดแดดาล,โกรูป รักนา,ชลเนตรนองน้ำพร้อม,พร่องหน้าบทยา
บางองค์มุขมาตย์ม้วน,เหมือนเรียม ราศเอย,สังเวชในใจเจียม,จิ่มหน้า,บเห็นที่รักเทียม,ใจเล่า แลแม่,แถมอั่งอกใหม่หม้า,มาศน้องนิราราม
พระพุทธสามสี่ห้า,หกองค์,สูรส่องไสสีรงค์,หร่ามร้อน,เรียมเห็นเวทนาปลง,ใจชื่น ชมเอย,เทียนธูปทูลเจ้าจ้อน,จุ่งห้ามโพยภัย
ลาพระโลเกศเกล้า,แบกปลอน,ถวายส่วนศรีองค์อร,อ่อนได้,ฉายันเยี่ยยืนวอน,ใจพี่ มาเอย,ถึงธาตุพระเจ้าไหว้,จึ่งตั้งสติเป็น
อัสดงค์ดาค่ำเข้า,รัชนี,จันทร์แจ่มสัทกระวี,วาดฟ้า,เอารสราชภูมี,มาอํ่า รุงเอย,นางนาฏยลแย้มหน้า,คั่งแค้นปณิธาน
นิบาทธิเบศแก้ว,กัลยา ก็ยา,ปลงป่าวชุมวะนิดา,แห่ห้อม,ศรีสรรพอำรุงพา,รารุ่ง งามเอย,สนมนาฏเลื่อนเลื่อนล้อม,เนตรหน้าเต็มพลาน
ธาดาอห่อยเนื้อ,ทิพมาล,ไทงาศสันเฉลิมปาน,แต่งแต้ม,อานาศาสตร์พันพาน,เพิงแพ่ง งามเอย,ยลยิ่งนางฟ้าแย้ม,ย่างย้ายลดาวัลย์
พี่ชุมชนชื่นย้วน,ยามยล,ทะเจียกกรอมกุณฑล,เพริดแพร้ว,เพณีเนตรเสนียนมณ,มกุฎเกศ นางเอย,บุญจ่อมชีพิตแก้ว,แก่น้องขอเวน
เลงลักษณ์มิใคร่คร้ำ,ครวญแยง,คือเทพนิรมิตรแปลง,แปลกฟ้า,ภูษาสำอางแสง,โสภิศ งามแฮ,ยลนาฏต่างน้องถ้า,ถ่อมไว้ยลอวร
นับยลยามจากน้อง,นงพะงา นี้แม่,สายสืบชีพิตมา,รอดแล้,เต็มงามต่างภูษา,ชูช่วย ตายเอย,องค์ต่อองค์น้องแท้,แทกไดฤาประเหียน
ปกาเพลิงพลุ่งแจ้ง,โชตการ,ละลิดเทศทังทวยหาร,ไม่ห้อ,คระครั้นแบ่งบัวบาน,นิโลก ครั้งเอย,หมิใช่บุญน้องน้อ,มิได้ดลดู
เพียเพลิงพอพุ่งขึ้น,สูงสุด สว่างแฮ,ใสส่องเสียนงนุช,นาฏน้อ,บ่มาเสพสหยุต,ย่ามม่วน สันนี,ปูนชีพวางแล้วย้อ,ย่ามน้องรสดล
นบพระถึงรุ่งใกล้,วิภาดา,นึกนั่งบไสยา,ต่อแจ้ง,ทำบุญแม่นมหา,ปรางค์ใหญ่ ครานี,ก็เพื่อนุชน้องแสร้ง,เสร็จสร้างอติเร
บุรณมีแม่นมื้อชอบ,จักลา แลแม่,โอนอำรุงปณิธา,สั่งซ้ำ,ทักขิณหลั่งธารา,เป็นฝั่ง ครานี,นางนาฏรองรับน้ำ,นอบนิ้วโมทนา
ลาพระชินธาตุเจ้า,จอมอัฐิ,ถวายคิลาเพียญชน์ภัตร,หว่านไหว้,ประจงจอดจักรวัติ,ผลเผื่อ ทิพเอย,บัดเดี่ยวขอหื้อให้,แห่งห้องวิวาหา
ลาพระชินเชฐสร้อย,ชินวงศ์,เป็นปิ่นบูรีขง,เขตกว้าง,บคิดกริ่งประสงค์,สัตว์อื่น ใดเลย,สักชาติอย่าเร้นร้าง,ร่วมชู้นิพานเดียว
ลาพระวรเชฐสร้อย,ชินธาตุ์,เทียนทีปทังมาลา,หว่านไหว้,ประจงจอดพันตา,ทิพเท่า อวรเอย,ก็เท่าจงจักใช้,บาทเบื้องบูรเพ
บรเมมายแม่งม้าง,ภาวดี,ขงเขตไพรสิมพลี,แม่งม้าง,เบงจางค์เกศโมภี,สุดแว่น วางเอย,อันพี่บ่เร้นล้าง,กลิ่นแก้ววนิดา
ขุนเทนิราศแก้ว,กุมการ,ไต่ชาติเจียนยุวมาลย์,แม่ไว้,ยังลุล่มบาดาล,พลิราช วันนา,สามิลุแก้วใกล้,ชาตินี้ลุนยัง
กังขาลินีราศร้าง,รถเสน,วานหวั่นในดินเดน,ด่านน้ำ,นางยักษ์ผูกพันเวร,มวนโมฐ วันนา,อันพี่พัดน้องซ้ำ,เร่งร้อนระเหหน
ปะภาพิโยคสร้อย,สุทธนู ก็ดี,สมุทโฆษว้างพินทู,แม่งม้าง,ขุนบาจากเจียนอู,ษาราช,อกพี่แวนร้อนร้าง,กว่าเบื้องบูรเพ
กุศรานิราศร้าง,ภาวดี ก็ดี,ยังลาภลุนงค์ศรี,ร่วมห้อง,สาอื่นบปราณี,ยังยาก ครานา,จักแม่งรามรสน้อง,นาฏไท้ทุเรราง
รามานิราศร้าง,สีดา เดียวแม่,พระก็เอานงพงา,เผ่นผ้าย,ยังรู้ส่ำบุณตา,ดูเจต เดียวเอย,สืกสวนยังได้ส้าย,เพื่อผู้หนุมาน
จากเจียนเนื้อเกลี้ยงกลิ่น,องค์อร,องค์อรสมสมรนอน,พรากขวั้ญ,พรากขวั้ญเดือดแดดอน,อกม่อน มรแฮ,อกม่อนมรบาบั้น,บิ่นบ้าในทรวง
พระเม้านอระเนิ้งคอบ,เรียมทุกข์ เทือนี,เหมือนเมื่อทำกิตติยุค,ชวดช้า,เจดเขาคระเลงลุก,แดเดือด ต่างเอย,ถมออาสน์คล้ายคล้า,คอบข้าฤาถนอม
คราวครานถึงถาบห้อง,หริภุญ ชัยเฮย,หริร่ำสองอาดุล,ราศร้าง,ปูนกษัตริย์ปานเปลาทุน,ทิพอา ชาเอย,ถวายแก่นุชน้องอ้าง,อ่านเหล้นหายฉงน
มรรคาเพรงพรากเหมิ้น,เมินนาน เน่งแฮ,หริภุญชัยเชฐสถาน,ธาตุตั้ง,ร้อยเจ็ดสิบแปดประมาณ,บทบาท มีเอย,เป็นตำนานเรื้อรั้ง,แต่งตั้งเป็นสาร
เปลี่ยนแปลงร่างรื้อยาก,โคลงลาว นี้แฮ,พจนพากย์แผกกลฉาว,ช่างได้,ดำริตริตรองสาว,สืบเยี่ยง ดูเอย,จัดพอจุแรงให้,บาทเบื้องคุณเฉลิม
อา สอรเรียมม่อนตั้ง,เขียนขัด,ภิ โรธเดิมตามทัด,ย่าเค้า,ชัย ชนะหากเป็นสัจ,ขอมุ่ง มุงเอ่,เขียน ขีดลายก้อมเศร้า,ไป่สู้สนามเคย
สุรินทร์เขียนขีดด้วย,อัตตา,ยังค่าวคราวมัคคา,เจตจ้อน,หริภุญช์เขตลานนา,ไทยเทศ เราเอ่,คำซ่อนซอนลี้ซ้อน,เลียบเทิ้นพิจารณ์
