first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
บุรีทวารต่อตั้ง,สมสถาน,นามชื่อศรีมหาทวาร,รวดเรื้อง,ทนทุกข์ทิวานาน,บ่น่อย ทวงเอย,ขวัญขาดยังข้อนเบื้อง,บาปห้อยเห็นอวร
พันง้อมงามเงื้อนใกล้,สุสาร,เรียมบังคมชิตมาร,เจื่องเจ้า,ทุรังสิ้นศิลบาล,บ่ใคร่ รักเอย,ก็ใช่จงจักเฝ้า,เทพท้าวเองอวร
ลุถึงเถียงเส่าสร้อย,ศรีเสถียร,อัศว์ด่ำเรียรถเกวียน,คืดเกล้า,ไทเห็นอุพาเจียน,จันแม่ มาแฮ,ยลใช่ชีพิตเข้า,พี่ห้อยหฤทัย
เรียงนันอาวาสแก้ว,กุฏิคำ,ทุกทำงนเรียมจำ,เจตไหว้,เทพาพิทักษ์ทำ,พุทธศาส นาเอย,จำเจตนงค์น้องไว้,รีบร้างคนเดิน
อารามเรียงรุ่นหั้น,เงางาม,เป็นปิ่นบุรีนาม,น่างรั้ว,บเห็นนาฏนงราม,บวรสวาท สยบเอย,ทังขื่อชีพิตกั้ว,โลกนี้นามนิพาน
ทวารทองเขิ่มเขื่อนขั้ง,ศึกแสลง,รุตราชรังสีแปง,หม่ายหม้า,จักถึงพี่ยังแยง,หาแม่ นาแม่,บ่จวบโฉมสร้อยฟ้า,ไต่เต้าตามเรียม
ด่าวนี้พ้นบั้งบาด,บุรี นาแม่,รถราชพันรังสี,ส่องหล้า,ไกวกงแกว่งเกวียนจี,วางเมฆ มาแฮ,เชิญช่วยดับทุกข์ข้า,ที่ร้างรามสมร
รถทองเทียมแทบเอื้อม,อุสภา,มิอาจจักคณนา,เนกได้,หางยูงเยื่อนอาภา,เพยเพิก งามเอย,ลางช่อปักหื้อให้,กล่อมเกี้ยวเวถี
พริพัดโคมคู่ห้อย,ดึงดัง,หัดใหม่ไหมขาวทัง,แอกอ้อม,หงส์ทองทอดคลานคลัง,กับโทก เทียมเยอ,เรือนร่วงวางวัดส้อม,แส่วเส้นสานี
ลาเจียนชม่อยเนื้อ,ทิพมาลย์,ชลิ่วแลนงคราญ,คร่าวถ้า,เต็มเลงอื่นใครปาน,หัทเยศ เดแม่,เจียรบรู่เนื้อผ้า,มิผู้ใครยล
