first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
เกวียนเอยเกวียนหนักด้วย,ของบรร ทุกแฮ,เกวียนก็มีกงหัน,หกกลิ้ง,ทรวงพี่หนักโศกศัลย์,สุดหนัก ยิ่งนอ,ยากจะผ่อนทุกข์ทิ้ง,ทอดไว้ไหนดี
ลุน่าวัดรวกแล้ว,ลังเล จิตเฮย,ทรวงพี่สุดโลเล,รักไร้,หลาวรวกสิบแสนเท,แทงอก พี่ฮา,เจ็บไป่เท่าโศกไซร้,เสียดซ้ำทรวงเรียม
น้อมถวายชุลิตนิ้ว,นมัสการ,เคารพอาวาสสถาน,ถิ่นนั้น,นึกคุณพระจอมญาณ,ยอดภพ,ยอพระคุณพระกั้น,คอยพ้นภัยกษัย
ไพหารุโบสถล้อม,กำแพง แก้วเฮย,แปดทิศสิมาแสดง,เขตชี้,โอแต่โบสถ์ขันแขง,เขื่อนรอบ บังแฮ,นุชพี่อยู่เรือนนี้,จักได้ใดบัง
เดชกุศลแห่งข้า,นมัสการ,โดยกระมลใสสานต์,สุทธพร้อม,ขอส่วนกุศลจาน,เจือส่ง เกษมแฮ,ป้องนุชอยู่เรือนห้อม,อย่าให้ภัยพาน
เสร็จลาวัดรวกร้าง,รีบจร,สู่เขตมรรคันดร,ทุ่งกว้าง,ลิ่วลับสุดาสมร,มามาก แล้วแม่,อกพี่โออ้างว้าง,เทวษว้าเหวใจ
ยลเพื่อนพาหนะพ้อง,พูนเกษม,สนุกสนานปรีด์เปรม,ปริ่มพริ้ม,เรียมนึกคะนึงเอม,โอชรส รักแฮ,จิตวิโยคจำแย้ม,พักตร์แก้กันเขิน
โฉมเอยโฉมนุชเจ้า,สายใจ พี่ฮา,เรียมนิราศรักไกล,เนิ่นแล้ว,ปานนี้นุชเป็นโฉน,ยังห่อน ทราบเฮย,ใครจะถนอมแนบแก้ว,กกน้องนอนหนอ
ออกลุทุ่งว้าง,วังเวง ยิ่งเฮย,ลิบลิบตลอดเลง,ลิ่วลิ้ว,นึกว่าเพี่อกรรมเพรง,จำพราก มานา,จิตสะดุ้งริ่วริ้ว,เร่งเร้ารนถวิล
ลุทุ่งบงฝุ่นฟุ้ง,ฟูปลิว,พายพัดกระพือทิว,ย่าโย้,เสนาะสนั่นหวิวหวิว,โสตแว่ว,ฟังยิ่งวังเวงโอ้,อกชํ้าชวนกระสัน
ยลเกวียนเกวียนไกว่ล้อ,แลหมุน กงเฮย,กลิ้งตลบหลุนหลุน,ฟัดเฟ้น,สงสารกระบือซุน,ศอหนัก แอกโอย,ทรวงพี่หนักโศกเน้น,แน่นซ้อนสุดขยาย
ยลทุ่งเห็นทุ่งแห้ง,หาชล ยากฮา,ทุ่งแยกระแหงสกล,กอกก้อน,ตฤณชาติเฉกลน,เพลิงสลด สลึกแฮ,ทรวงพี่โอสุดร้อน,ยิ่งร้อนแสงสูริย์
เรียมรีบจรเร่งเต้า,ดาลกระสัน,ปางพี่จากฤๅทัน,สั่งน้อง,คิดยิ่งคิดคะนึงขวัญ,เนตรพี่,โฉมแม่เนาเรือนป้อง,ป่านนี้เป็นไฉน
