first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
บางรมาดมิ่งมิดครั้ง,คราวงาน,บอกบทบุญยังพยาน,พยักหน้า,ประทุนประดิศถาน,แทนฮ่องหอเอย,แหวนประดับกับผ้า,พี่อ้างรางวัน
สงสารสายเนตรน้อง,นองชล,ลเนตรพี่เพียงฝอยฝน,เฟ่าน้อง,จวนรุ่งร่ำสอื้นจน,จำจากแจ่มเอย,คราวเคราะเพราะน้องต้อง,พยุกล้าสลาตัน
สวรหลวงแลสล่างล้วน,พฤกษา,เคยเสดจวังหลังมา,เมื่อน้อย,ข้าหลวงเล่นปิดตา,ต้องอยู่โยงเอย,เหนแต่พลับกับสร้อย,ซ่อนซุ้มคลุมโปง
วัดพิกุนกรุ่นกลิ่นเกลี้ยง,กลอยใจ,แรกรุ่นรวยมาไล,ไส่เหล้น,เรียนร้อยค่อยสอดไหม,เหมือนแน่และ๐เอย,ร้อยคล่องต้องนั่งเน้น,นวดฟั้นท่านครู
บางขวางข้างเขดแคว้น,แขวงนน,สองฟากหมากมพร้าวผล,พรรไม้,หอมรื่นชื่นเช่นปน,แป้งประปรางเอย,เคลิ้มจิตคิดว่าใกล้,กลิ่นเนื้อเจือจรร
เชิงสวรล้วนรักน้ำ,คล้ำไคล,ลูกดกรกเรื้อไบ,บิดพลิ้ว,รักร้ายฝ่ายคนไกล,กลัวรักนักเอย,เดจลูกถูกยางนิ้ว,หนิดเนื้อเหลือคัน
บางกรวยตรวดน้ำแบ่ง,บุญทาน,ส่งนิ่มนุชนิบพาน,ผ่องแผ้ว,จำจากพรากพลัดสถาน,ทิ้งพี่หนีเอย,เหนแต่คลองน้องแคล้ว,คลาศเลื่อนเดือนปี
บางศรีทองคลองบ้านเก่า,เจ้าคลอง,สีเพชผัวสีทอง,ถิ่นนี้,เลื่องฦๅชื่อเสียงสนอง,สำเหนียกนามเอย,คลองคดลดเลี้ยวชี้,เช่นไสร้ไสทอง
ล่วงทางบางบ้านเรียด,ริมชลา,สองฝั่งพรั่งพฤกษา,สลับสล้าง,ไม้ปลูกลูกดอกดา,ดกดาศกลาดเอย,ทรงกลิ่นรินรื่นข้าง,ขอบคุ้งฟุ้งขจร
รอกแตแลลอดเลี้ยว,โลดโผน,นกหกจกจิกโจน,จับไม้,ยางเจ่าเหล่ายางโทน,ท่องเที่ยวเยี่ยวเอย,โฉบฉาบคาบปลาได้,ด่วนขึ้นกลืนกิน
บางกร่างข้างคุ้งค่าม,เขดคลอง,บางขนุนขุนกอง,ก่อสร้าง,ของสวนส่วนเจ้าของ,ฃายน่าท่าเอย,สาวแก่แม่ม่ายบ้าง,บกน้ำลำเรือ
โรงหิบหนิบอ้อยออด,แอดเสียง,สองข้างรางรองเรียง,รับน้ำ,อ้อยไส่ไล่ควายเคียง,คู่วิ่งเวียรเอย,อกพี่นี้ชอกช้ำ,เช่นอ้อยย่อยรยำ
หีบหันนั้นและเหล้๐,กระลาการ,ขู่ข่มเหงหักหาร,ห่อนเว้น,เข้าพวกคิดอ่านพาล,เอาผิดพ่อเอย,กลหีบหนิบนิดเน้น,นึกช้ำน้ำใจ
บางคูเวียงเสียงสงัดล้วน,สวรไสว,เวียงชื่อศรีท้าวไท,ท่านตั้ง,เวียงราชคลาศแคล้วไกล,กลับรฦกนึกเอย,ยามยากจากเมืองทั้ง,ถิ่นปลื้มลืมกเษม
บางม่วงทรวงเศร้าคิด,เคยชวน,ม่วงเกบมม่วงสวน,ศุกรย้า,ม่วงอื่นรื่นรันจวน,จิตไม่ใคร่แฮ,ม่วงหม่อมหอมห่วนหน้า,เสน่เนื้อเจือจรร
จันต้นผลห่ามให้,หวนหอม,แมลงภู่วู่เวียนตอม,ไต่เคล้า,เพียงพี่ที่สุดถนอม,เสน่ห์แจ่มจรรเอย,พร้องชื่อรื้อเสียวเศร้า,โศกร้างห่างจรร
